sample,group,read1,read2,reference
DRR030302,hiv,data/reads/DRR030302_1.fastq.gz,data/reads/DRR030302_2.fastq.gz,data/ref/hiv_ref.fna
ggal_gut,ecoli,data/reads/ggal_gut_1.fq,data/reads/ggal_gut_2.fq,data/ref/ecoli.fna
